Name,uniqueStmtSets,setDeviation,pathDeviation_thr0,pathDeviation_thr2,pathDeviation_thr1,pathDeviation_thr3,testResult,uniquePaths
test142(org.apache.commons.math.distribution.RegressionTest0),3.0,0.27510683760683763,1.443609022556391,1.318077803203661,1.3779904306220099,1.2631578947368423,0.8333333333333334,3.0
test05(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test09(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test047(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test134(org.apache.commons.math.distribution.RegressionTest0),3.0,0.2136752136752137,6.103179916317991,5.651092515109252,5.8684422272288375,5.449267782426778,0.8333333333333334,3.0
test146(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3869969040247678,1.4080834419817472,1.2203389830508473,1.3075060532687652,1.1440677966101693,0.8333333333333334,3.0
test070(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test065(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test128(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test152(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test052(org.apache.commons.math.distribution.RegressionTest0),3.0,0.32954545454545453,1.6391402714932126,1.4205882352941175,1.522058823529412,1.3318014705882353,0.8333333333333334,3.0
test053(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test151(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test063(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test006(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test012(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test141(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test00(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test11(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test004(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test136(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test050(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test055(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test154(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test04(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test08(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test15(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test19(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test014(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test101(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test068(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test038(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test008(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test044(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test160(org.apache.commons.math.distribution.RegressionTest0),3.0,0.4108796296296296,1.0867924528301887,0.9589345172031075,1.0188679245283019,0.9504950495049506,0.8333333333333334,3.0
test021(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test156(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test009(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test015(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test045(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test10(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test080(org.apache.commons.math.distribution.RegressionTest0),3.0,0.22048611111111113,1.019492230854606,0.9903638814016171,1.0047169811320755,0.9880668257756563,0.8333333333333334,3.0
test124(org.apache.commons.math.distribution.RegressionTest0),3.0,0.18918918918918917,2.0628997867803838,1.883517196625568,1.9691316146540028,1.805037313432836,0.8333333333333334,3.0
test157(org.apache.commons.math.distribution.RegressionTest0),3.0,0.22803114571746386,3.1015384615384614,2.6879999999999997,2.880000000000001,2.52,0.8333333333333334,3.0
test18(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test067(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test071(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test100(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test133(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test16(org.apache.commons.math.distribution.FDistributionImpl_ESTest),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test005(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test104(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test110(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test011(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test077(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3467000835421888,1.6596417281348788,1.290983606557377,1.541095890410959,1.2180974477958237,0.8333333333333334,3.0
test094(org.apache.commons.math.distribution.RegressionTest0),3.0,0.32954545454545453,1.3506493506493507,1.2155844155844155,1.2795625427204376,1.1576994434137293,0.8333333333333334,3.0
test153(org.apache.commons.math.distribution.RegressionTest0),3.0,0.36574074074074076,1.1154929577464787,1.0140845070422535,1.0623742454728369,0.969993876301286,0.8333333333333334,3.0
test054(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test018(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test117(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test147(org.apache.commons.math.distribution.RegressionTest0),3.0,0.32954545454545453,1.5621301775147929,1.353846153846154,1.4505494505494507,1.2692307692307692,0.8333333333333334,3.0
test048(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test051(org.apache.commons.math.distribution.RegressionTest0),3.0,0.43790849673202614,1.5051664753157288,1.3044776119402983,1.3976545842217483,1.2229477611940298,0.8333333333333334,3.0
test150(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test028(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test127(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test20(org.apache.commons.math.distribution.FDistributionImpl_ESTest),3.0,0.2545766590389016,6.734803737780402,6.122548852527638,6.414098797886098,5.8563510763307844,0.16666666666666666,4.0
test163(org.apache.commons.math.distribution.RegressionTest0),3.0,0.3140096618357488,1.265625,1.1505681818181817,1.2053571428571428,1.1005434782608696,0.8333333333333334,3.0
test041(org.apache.commons.math.distribution.RegressionTest0),3.0,0.36574074074074076,1.1945701357466065,1.0688259109311742,1.1282051282051282,1.0153846153846153,0.8333333333333334,3.0
test064(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test074(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test031(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test130(org.apache.commons.math.distribution.RegressionTest0),3.0,0.18918918918918917,3.1015384615384614,2.6879999999999997,2.880000000000001,2.52,0.8333333333333334,3.0
test097(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test140(org.apache.commons.math.distribution.RegressionTest0),3.0,0.17434210526315788,6.01846737557604,5.603400660019072,5.80352211216261,5.416620638018437,0.8333333333333334,4.0
test173(org.apache.commons.math.distribution.RegressionTest0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
test06(org.apache.commons.math.distribution.FDistributionImpl_ESTest),3.0,0.2502937720329025,2.6108108108108112,2.3734643734643734,2.486486486486487,2.27027027027027,0.16666666666666666,4.0
test17(org.apache.commons.math.distribution.FDistributionImpl_ESTest),3.0,0.582010582010582,1.1183431952662721,0.9692307692307691,1.0384615384615385,0.9606099110546379,0.8333333333333334,3.0
